symbol,strategy,start_date,end_date,騰落率,平均勝率,平均取引日数,平均期待損益率,一日当たりの期待損益率平均,平均期待損益率long,一日当たりの期待損益率平均long,平均期待損益率short,一日当たりの期待損益率平均short,取引当たりの平均日数,平均取引数
ETHUSD,超短期ボリンジャー5日_1.70倍_決済差額0.00,2016-08-19,2019-08-18,78.64,34.04,122.0,1.62,0.62,0.51,0.21,2.6,0.94,2.6,47.0
ETHUSD,超短期ボリンジャー5日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,78.3,40.82,130.0,1.58,0.6,1.17,0.46,1.95,0.7,2.65,49.0
ETHUSD,超短期ボリンジャー15日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,75.22,55.0,58.0,3.49,1.2,2.69,0.95,4.68,1.56,2.9,20.0
ETHUSD,超短期ボリンジャー12日_1.80倍_決済差額0.00,2016-08-19,2019-08-18,73.71,43.33,81.0,2.43,0.9,3.14,1.07,1.72,0.7,2.7,30.0
ETHUSD,超短期ボリンジャー9日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,69.83,37.21,112.0,1.75,0.67,2.55,0.89,1.05,0.44,2.6,43.0
ETHUSD,超短期ボリンジャー10日_1.50倍_決済差額0.00,2016-08-19,2019-08-18,69.2,40.91,115.0,1.73,0.66,2.76,0.92,0.87,0.38,2.61,44.0
ETHUSD,超短期ボリンジャー12日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,68.5,40.54,96.0,1.97,0.76,3.47,1.2,0.55,0.24,2.59,37.0
ETHUSD,超短期ボリンジャー13日_1.90倍_決済差額0.00,2016-08-19,2019-08-18,67.37,46.15,71.0,2.58,0.94,2.16,0.79,3.16,1.16,2.73,26.0
ETHUSD,超短期ボリンジャー11日_1.80倍_決済差額0.00,2016-08-19,2019-08-18,67.02,40.62,82.0,2.14,0.84,3.11,1.06,1.29,0.58,2.56,32.0
ETHUSD,超短期ボリンジャー8日_1.70倍_決済差額0.00,2016-08-19,2019-08-18,66.72,40.0,110.0,1.58,0.65,1.87,0.74,1.33,0.56,2.44,45.0
ETHUSD,超短期ボリンジャー6日_1.90倍_決済差額0.00,2016-08-19,2019-08-18,66.04,36.84,95.0,1.77,0.71,2.53,0.97,1.08,0.45,2.5,38.0
