symbol,strategy_name,strategy_option,end_date,"全期間騰落率_複利","利益率3か月","利益率1年","利益率3年","利益率15年","最大ドローダウン","最大ドローダウン3か月","最大ドローダウン1年","最大ドローダウン3年","最大ドローダウン15年","期待利益率3か月","期待利益率3か月long","期待利益率3か月short","期待利益率1年","期待利益率1年long","期待利益率1年short","期待利益率3年","期待利益率3年long","期待利益率3年short","期待利益率15年","期待利益率15年long","期待利益率15年short","全期間期待利益率","全期間期待利益率long","全期間期待利益率short","利益率3か月long","利益率3か月short","利益率1年long","利益率1年short","利益率3年long","利益率3年short","利益率15年long","利益率15年short","勝率","平均取引期間","取引数","取引数long","取引数short","ペイオフレシオ"
4042.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.4,0.0203,0.0203,0.0203,0.0203,0.1122,0.1122,0.1122,0.1122,0.1122,0.0003,0.0026,-0.0027,0.0003,0.0024,-0.0027,0.0003,0.0024,-0.0027,0.0003,0.0024,-0.0027,0.0018,0.0071,-0.0073,0.0495,-0.0292,0.0495,-0.0292,0.0495,-0.0292,0.0495,-0.0292,36.3636,3.7273,11,7,4,2.1873
5388.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.3183,-0.0391,-0.0232,0.4941,0.8012,0.1025,0.0038,0.0087,0.1025,0.1025,-0.0006,-0.0005,-0.0046,-0.0001,-0.0011,0.0003,0.0007,0.0028,0.0002,0.0002,0.0009,0.0005,0.0021,0.0027,0.0015,-0.007,-0.0321,-0.0378,0.0146,0.4735,0.0206,0.5465,0.2547,14.4,4.752,375,203,172,7.1644
2169.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.2786,-0.0337,-0.2484,-0.1581,-0.0616,0.1379,0.0112,0.062,0.062,0.1379,-0.0005,-0.0021,-0.0005,-0.001,-0.0059,-0.0009,-0.0002,-0.0009,-0.0002,0,0.0003,-0.0004,-0.0001,0.0006,-0.001,-0.0268,-0.0069,-0.2054,-0.043,-0.1354,-0.0227,0.1424,-0.204,22.8311,3.137,438,227,211,3.5462
2009.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.2748,0.0218,0.0659,0.1618,0.4544,0.1145,0.0016,0.0138,0.0138,0.1145,0.0003,0.0013,0.0003,0.0003,0.0005,0.0007,0.0002,0.001,-0.0002,0.0001,0.0007,-0.0003,-0.001,0.0002,-0.0025,0.0182,0.0036,0.0256,0.0403,0.1933,-0.0315,0.6116,-0.1572,23.8231,3.5635,701,394,307,3.4299
4514.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.27,0.131,0.131,0.131,0.131,0.0201,0.0201,0.0201,0.0201,0.0201,0.0021,-0.001,0.0145,0.0018,-0.0009,0.0145,0.0018,-0.0009,0.0145,0.0018,-0.0009,0.0145,0.0131,-0.0023,0.0362,-0.0138,0.1448,-0.0138,0.1448,-0.0138,0.1448,-0.0138,0.1448,20,3.3,10,6,4,10.7244
2883.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.213,0,-0.0036,0.1418,0.127,0.0161,0,0.0007,0.008,0.0161,0,0,0,0,0,-0.0001,0.0002,0.0007,0,0.0001,0.0003,0.0003,0.0007,0.0008,0.0006,0,0,0,-0.0036,0.1384,0.0034,0.0817,0.0453,8.6705,4.0116,173,100,73,24.3709
4326.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.134,-0.0029,0.0229,-0.1526,0.4136,0.1578,0.0356,0.1106,0.1308,0.1578,0,-0.0007,0.0005,0.0001,-0.0001,0.0005,-0.0002,0,-0.0011,0.0001,0.0004,0.0004,0.0009,0.0009,0.0009,-0.0093,0.0064,-0.0064,0.0293,0.0013,-0.1539,0.2234,0.1902,36.758,3.6689,438,236,202,1.7778
3608.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4.04,0.0265,0.0265,0.0265,0.0265,0.048,0.048,0.048,0.048,0.048,0.0004,-0.0025,0.0024,0.0004,-0.002,0.0023,0.0004,-0.002,0.0023,0.0004,-0.002,0.0023,0.0018,-0.0043,0.0071,-0.0303,0.0568,-0.0303,0.0568,-0.0303,0.0568,-0.0303,0.0568,26.6667,3.5333,15,7,8,4.2473
2899.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.9926,-0.0131,0.1903,0.2109,0.0776,0.0622,0.0032,0.0088,0.0495,0.0609,-0.0002,0.0002,-0.002,0.0008,0.0009,0.003,0.0003,0.0004,0.0011,0,0.0001,0,0.0001,0.0002,-0.0001,0.003,-0.0161,0.0365,0.1538,0.0526,0.1583,0.0963,-0.0187,10.6796,3.3287,721,383,338,9.2933
6087.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.96,0.1544,0.1544,0.1544,0.1544,0.002,0.002,0.002,0.002,0.002,0.0025,0.006,0.0011,0.0021,0.0053,0.001,0.0021,0.0053,0.001,0.0021,0.0053,0.001,0.014,0.0277,0.0026,0.1386,0.0158,0.1386,0.0158,0.1386,0.0158,0.1386,0.0158,36.3636,4.7273,11,5,6,36.4
5449.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.9504,0.1229,0.1717,0.2587,-0.1612,0.1808,0.015,0.0212,0.0631,0.1808,0.002,-0.0007,0.0067,0.0007,-0.0025,0.0046,0.0003,-0.0008,0.002,0,-0.0001,-0.0001,0.0005,0.001,-0.0001,-0.0115,0.1344,-0.13,0.3017,-0.1166,0.3753,-0.0683,-0.0929,15.193,3.1631,803,430,373,5.8182
8043.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.9,0.0629,0.0629,0.0629,0.0629,0.0214,0.0214,0.0214,0.0214,0.0214,0.001,-0.001,0.0063,0.0008,-0.001,0.0055,0.0008,-0.001,0.0055,0.0008,-0.001,0.0055,0.0057,-0.0033,0.0165,-0.0196,0.0825,-0.0196,0.0825,-0.0196,0.0825,-0.0196,0.0825,27.2727,4.2727,11,6,5,7.5265
6340.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.7962,0.0618,0.0618,0.0618,0.0618,0.0279,0.0279,0.0279,0.0279,0.0279,0.001,0.003,0.0018,0.0009,0.0028,0.0016,0.0009,0.0028,0.0016,0.0009,0.0028,0.0016,0.0044,0.0073,0.0028,0.0364,0.0254,0.0364,0.0254,0.0364,0.0254,0.0364,0.0254,28.5714,2.8571,14,5,9,4.086
7743.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.67,0.1853,0.1853,0.1853,0.1853,0.0077,0.0077,0.0077,0.0077,0.0077,0.0029,0.0014,0.0116,0.0026,0.0014,0.009,0.0026,0.0014,0.009,0.0026,0.0014,0.009,0.0185,0.0039,0.0405,0.0232,0.1621,0.0232,0.1621,0.0232,0.1621,0.0232,0.1621,30,4.8,10,6,4,11.1615
1301.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.62,0.0545,0.0545,0.0545,0.0545,0.0092,0.0092,0.0092,0.0092,0.0092,0.0009,0.0018,0.001,0.0008,0.0017,0.0009,0.0008,0.0017,0.0009,0.0008,0.0017,0.0009,0.0039,0.0061,0.0023,0.0364,0.0181,0.0364,0.0181,0.0364,0.0181,0.0364,0.0181,42.8571,4.7143,14,6,8,4.241
9763.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.6105,0,0,0.065,0.5859,0.2806,0,0,0.0051,0.2806,0,0,0,0,0,0,0.0001,0.0005,-0.0002,0.0002,0.0008,-0.0001,0.0009,0.0015,0.0002,0,0,0,0,0.0933,-0.0283,0.628,-0.0421,7.1529,3.4684,713,374,339,13.4565
8537.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.5596,0,0,-0.0198,0.0289,0.0157,0,0,0.0049,0.0157,0,0,0,0,0,0,0,0,-0.0001,0,0.0001,0,0.0001,0.0002,-0.0001,0,0,0,0,0,-0.0198,0.042,-0.0131,1.139,3.3326,439,217,222,152.8143
4517.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.5566,0,0,0,0.2107,0.0828,0,0,0,0.0376,0,0,0,0,0,0,0,0,0,0.0001,0,0.0003,0,-0.0002,0.0003,0,0,0,0,0,0,0.0265,0.1842,3.0822,3.6045,584,309,275,36.7114
5603.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.4217,0,-0.0138,-0.2015,2.1335,0.7477,0,0.0041,0.3312,0.7477,0,0,0,-0.0001,-0.0001,-0.0002,-0.0003,-0.0008,-0.0007,0.0006,0.0021,0.0009,0.0027,0.0038,0.0017,0,0,-0.0038,-0.01,-0.1045,-0.097,1.3972,0.7363,12.9206,3.2261,743,352,391,6.7698
3826.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.39,0.0287,0.0287,0.0287,0.0287,0.0447,0.0447,0.0447,0.0447,0.0447,0.0005,0.0045,-0.0049,0.0004,0.0039,-0.0043,0.0004,0.0039,-0.0043,0.0004,0.0039,-0.0043,0.0029,0.0157,-0.0057,0.0627,-0.034,0.0627,-0.034,0.0627,-0.034,0.0627,-0.034,30,2.9,10,4,6,3.8036
3817.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.17,0.1176,0.1176,0.1176,0.1176,0.0116,0.0116,0.0116,0.0116,0.0116,0.0019,0.0017,0.0051,0.0016,0.0017,0.0051,0.0016,0.0017,0.0051,0.0016,0.0017,0.0051,0.0118,0.0053,0.0215,0.0315,0.0861,0.0315,0.0861,0.0315,0.0861,0.0315,0.0861,70,5.4,10,6,4,1.399
2791.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.1,0.0901,0.0901,0.0901,0.0901,0.007,0.007,0.007,0.007,0.007,0.0014,-0.0013,0.0067,0.0013,-0.0011,0.0057,0.0013,-0.0011,0.0057,0.0013,-0.0011,0.0057,0.0082,-0.0035,0.0179,-0.0174,0.1075,-0.0174,0.1075,-0.0174,0.1075,-0.0174,0.1075,18.1818,4,11,5,6,23.6096
4295.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.09,0.1079,0.1079,0.1079,0.1079,0.0044,0.0044,0.0044,0.0044,0.0044,0.0017,0.0035,0.0053,0.0015,0.0026,0.005,0.0015,0.0026,0.005,0.0015,0.0026,0.005,0.009,0.0056,0.0114,0.0281,0.0798,0.0281,0.0798,0.0281,0.0798,0.0281,0.0798,25,2.9167,12,5,7,15.039
4678.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.0887,0,-0.0326,0.2234,0.914,0.5334,0,0.0016,0.0052,0.5334,0,0,0,-0.0001,-0.0002,-0.0004,0.0003,0.0011,-0.0006,0.0002,0.0006,0.0006,0.0028,0.0041,0.0016,0,0,-0.0142,-0.0184,0.28,-0.0566,0.4869,0.4271,19.6676,3.5042,722,367,355,4.1419
5195.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3.0288,0.0834,0.174,0.0448,0.641,0.7315,0.025,0.0545,0.0813,0.6263,0.0013,-0.0025,0.0091,0.0007,-0.005,0.0078,0.0001,-0.0016,0.0019,0.0002,0.0003,0.0006,0.0002,0.0002,0.0003,-0.0253,0.1087,-0.2179,0.3919,-0.231,0.2758,0.2312,0.4098,34.5013,3.4946,742,390,352,1.9129
8842.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.9797,-0.0455,-0.0663,-0.0516,0.0121,0.0753,0.0225,0.0315,0.0374,0.0753,-0.0007,-0.0019,-0.002,-0.0003,-0.0009,-0.0005,-0.0001,-0.0004,0.0001,0,0.0001,-0.0001,0,0.0001,-0.0001,-0.0271,-0.0184,-0.0462,-0.0201,-0.0634,0.0118,0.054,-0.0419,2.0927,3.5321,669,368,301,52.8813
4923.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.7634,0.0265,-0.0829,-0.0458,0.1502,0.0459,0.0041,0.0184,0.0344,0.0459,0.0004,0.0043,-0.0039,-0.0003,-0.0017,-0.0002,-0.0001,0.0007,-0.0016,0,0.0006,-0.0006,0.0003,0.0019,-0.0021,0.0696,-0.0431,-0.0742,-0.0087,0.1266,-0.1724,0.4175,-0.2673,20.6731,4.2404,416,250,166,4.155
9932.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.74,0.1066,0.1066,0.1066,0.1066,0.0099,0.0099,0.0099,0.0099,0.0099,0.0017,0.0064,0.0033,0.0015,0.0047,0.0028,0.0015,0.0047,0.0028,0.0015,0.0047,0.0028,0.0107,0.0175,0.0061,0.07,0.0366,0.07,0.0366,0.07,0.0366,0.07,0.0366,30,3.9,10,4,6,8.7267
8081.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.629,0.191,0.3811,0.6444,-0.0997,0.1545,0.0126,0.0284,0.0418,0.1258,0.003,0.0077,0.0037,0.0015,0.0046,0.0032,0.0009,0.0029,0.0008,0,-0.0001,0,-0.001,-0.0016,-0.0004,0.1389,0.0521,0.2418,0.1393,0.5341,0.1103,-0.0853,-0.0144,31.1295,3.4752,726,396,330,2.2897
4187.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.6,0.0856,0.0856,0.0856,0.0856,0.0054,0.0054,0.0054,0.0054,0.0054,0.0014,0.0012,0.0051,0.0012,0.0011,0.0051,0.0012,0.0011,0.0051,0.0012,0.0011,0.0051,0.0071,0.0028,0.0132,0.0198,0.0658,0.0198,0.0658,0.0198,0.0658,0.0198,0.0658,25,3.1667,12,7,5,10.9592
3512.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.5582,0.0045,-0.1737,-0.2979,-0.1742,0.0663,0.0006,0.0097,0.0162,0.0614,0.0001,-0.0003,0.003,-0.0007,-0.0027,-0.002,-0.0004,-0.0012,-0.0014,0,-0.0002,0,-0.0003,-0.0003,-0.0003,-0.0044,0.0089,-0.1138,-0.0599,-0.1519,-0.146,-0.1972,0.023,16.2328,3.7933,653,373,280,5.6291
8707.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.51,0.0472,0.0472,0.0472,0.0472,0.0268,0.0268,0.0268,0.0268,0.0268,0.0007,-0.0002,0.0036,0.0007,-0.0001,0.0036,0.0007,-0.0001,0.0036,0.0007,-0.0001,0.0036,0.0039,-0.0004,0.0125,-0.0029,0.0501,-0.0029,0.0501,-0.0029,0.0501,-0.0029,0.0501,33.3333,3.75,12,8,4,3.6299
9828.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.4,0.0203,0.0203,0.0203,0.0203,0.0537,0.0537,0.0537,0.0537,0.0537,0.0003,-0.0017,0.0033,0.0003,-0.0017,0.0028,0.0003,-0.0017,0.0028,0.0003,-0.0017,0.0028,0.0017,-0.0037,0.0056,-0.0187,0.039,-0.0187,0.039,-0.0187,0.039,-0.0187,0.039,16.6667,2.75,12,5,7,6.4388
2445.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.3026,0.152,-0.04,-0.5148,0.5255,0.2645,0.0058,0.0628,0.1516,0.2645,0.0024,-0.0032,0.0092,-0.0002,-0.002,0.0009,-0.0007,-0.0013,-0.0026,0.0002,0.0032,-0.002,0.0012,0.008,-0.0047,-0.0324,0.1844,-0.0792,0.0392,-0.1791,-0.3357,1.5908,-1.0653,33.1776,3.2407,428,199,229,2.0411
1964.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.28,0.1333,0.1333,0.1333,0.1333,0.002,0.002,0.002,0.002,0.002,0.0021,0.0002,0.0082,0.0018,0.0001,0.0069,0.0018,0.0001,0.0069,0.0018,0.0001,0.0069,0.0102,0.0003,0.0218,0.0025,0.1308,0.0025,0.1308,0.0025,0.1308,0.0025,0.1308,53.8462,3.8462,13,7,6,6.7792
4679.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.2791,0,-0.0045,-0.0015,-0.1641,0.028,0,0.0003,0.0003,0.0274,0,0,0,0,-0.0001,0,0,0,0,0,-0.0002,0,0.0002,-0.0001,0.0004,0,0,-0.0045,0,-0.0045,0.003,-0.1459,-0.0182,2.0349,3.4637,688,367,321,67.9095
8395.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.23,0.1631,0.1631,0.1631,0.1631,0.013,0.013,0.013,0.013,0.013,0.0026,0.0043,0.0052,0.0022,0.0043,0.0044,0.0022,0.0043,0.0044,0.0022,0.0043,0.0044,0.0148,0.0095,0.0192,0.0477,0.1154,0.0477,0.1154,0.0477,0.1154,0.0477,0.1154,36.3636,5.0909,11,5,6,3.8709
7456.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.2,0.1234,0.1234,0.1234,0.1234,0,0,0,0,0,0.002,0.0025,0.0049,0.0017,0.0024,0.0041,0.0017,0.0024,0.0041,0.0017,0.0024,0.0041,0.0123,0.0112,0.0131,0.0449,0.0785,0.0449,0.0785,0.0449,0.0785,0.0449,0.0785,60,5.2,10,4,6,Inf
8011.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.1782,0.0591,0.0591,0.0591,0.0591,0.0168,0.0168,0.0168,0.0168,0.0168,0.0009,-0.0002,0.0038,0.0008,-0.0002,0.0027,0.0008,-0.0002,0.0027,0.0008,-0.0002,0.0027,0.0059,-0.0026,0.008,-0.0052,0.0643,-0.0052,0.0643,-0.0052,0.0643,-0.0052,0.0643,30,4.5,10,2,8,5.2852
4463.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.1472,0.017,-0.0083,0.1179,0.1102,0.0649,0.0047,0.008,0.0636,0.0649,0.0003,-0.0006,0.0026,0,-0.0008,0.0007,0.0002,0.0014,-0.0009,0.0001,0.0008,-0.0002,0.0007,0.002,-0.0006,-0.0068,0.0238,-0.0387,0.0304,0.2316,-0.1137,0.152,-0.0418,21.8543,3.4437,151,76,75,3.9214
6333.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.139,0.0478,0.0478,0.0478,0.0478,0.0356,0.0356,0.0356,0.0356,0.0356,0.0008,-0.0029,0.0053,0.0007,-0.0023,0.0053,0.0007,-0.0023,0.0053,0.0007,-0.0023,0.0053,0.004,-0.0034,0.0114,-0.0205,0.0683,-0.0205,0.0683,-0.0205,0.0683,-0.0205,0.0683,33.3333,2.5,12,6,6,2.8676
2139.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.0568,0,0.0503,0.084,0.3033,0.0099,0,0.0058,0.0076,0.0099,0,0,0,0.0002,0,0.0013,0.0001,-0.0002,0.001,0.0003,-0.0001,0.0017,0.0016,-0.0003,0.0039,0,0,0,0.0503,-0.0318,0.1158,-0.026,0.3293,8.1081,3.227,185,101,84,19.3076
7487.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.045,0.0018,0.0808,0.1982,0.2139,0.1184,0,0.0036,0.0066,0.1184,0,0,0.0001,0.0003,-0.0002,0.0021,0.0003,0.0001,0.0015,0.0001,0.0001,0.0003,0.0003,0,0.0006,0,0.0018,-0.0119,0.0927,0.0132,0.185,0.0436,0.1703,4.3011,3.8264,651,375,276,24.4059
9993.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2.0006,0.0031,0.0031,0.0224,-0.0565,0.0363,0,0,0.0014,0.0363,0,0,0.0004,0,0,0.0001,0,0.0001,0,0,0.0001,-0.0002,-0.0001,0.0002,-0.0004,0,0.0031,0,0.0031,0.0179,0.0045,0.0525,-0.109,1.1725,3.3367,597,339,258,102.4895
7995.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.9,0.0132,0.0132,0.0132,0.0132,0.0213,0.0213,0.0213,0.0213,0.0213,0.0002,-0.0015,0.0029,0.0002,-0.0012,0.0029,0.0002,-0.0012,0.0029,0.0002,-0.0012,0.0029,0.0011,-0.0027,0.0087,-0.0218,0.035,-0.0218,0.035,-0.0218,0.035,-0.0218,0.035,16.6667,3.5,12,8,4,9.2793
5204.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.83,0.0778,0.0778,0.0778,0.0778,0.0023,0.0023,0.0023,0.0023,0.0023,0.0012,0.0013,0.0044,0.0011,0.0013,0.003,0.0011,0.0013,0.003,0.0011,0.0013,0.003,0.0065,0.0031,0.0089,0.0157,0.0621,0.0157,0.0621,0.0157,0.0621,0.0157,0.0621,41.6667,3.1667,12,5,7,7.6488
8729.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.78,0.0137,0.0137,0.0137,0.0137,0.076,0.076,0.076,0.076,0.076,0.0002,-0.0032,0.0033,0.0002,-0.0029,0.0033,0.0002,-0.0029,0.0033,0.0002,-0.0029,0.0033,0.0011,-0.0043,0.0066,-0.0257,0.0394,-0.0257,0.0394,-0.0257,0.0394,-0.0257,0.0394,33.3333,2.3333,12,6,6,2.1909
9966.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.75,0,0,0,0.0612,0.0159,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0002,0.0001,-0.0001,0.0004,0,0,0,0,0,0,-0.0414,0.1026,1.0909,4.18,550,304,246,162.7879
9306.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.7382,0.0465,-0.0392,-0.5412,-2.1964,0.3762,0.0033,0.0145,0.0612,0.3424,0.0007,0.0004,0.0044,-0.0002,-0.0016,0.0008,-0.0007,-0.0023,-0.0018,-0.0006,-0.0012,-0.0021,-0.0039,-0.003,-0.0048,0.0067,0.0398,-0.0769,0.0377,-0.3287,-0.2125,-0.8583,-1.3381,23.1231,3.467,666,350,316,3.3527
8362.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.73,0.0558,0.0558,0.0558,0.0558,0.004,0.004,0.004,0.004,0.004,0.0009,0.0012,0.0026,0.0008,0.0012,0.0022,0.0008,0.0012,0.0022,0.0008,0.0012,0.0022,0.0051,0.0037,0.0056,0.0112,0.0446,0.0112,0.0446,0.0112,0.0446,0.0112,0.0446,45.4545,3.5455,11,3,8,3.4085
7937.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.72,0.0871,0.0871,0.0871,0.0871,0.0097,0.0097,0.0097,0.0097,0.0097,0.0014,0.0053,0.0025,0.0012,0.0043,0.0021,0.0012,0.0043,0.0021,0.0012,0.0043,0.0021,0.0073,0.008,0.0066,0.0477,0.0394,0.0477,0.0394,0.0477,0.0394,0.0477,0.0394,25,3.5,12,6,6,6.8797
7504.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.7094,0.0099,0.1332,-0.0941,-0.4053,0.1076,0,0.0134,0.0321,0.1076,0.0002,0,0.0008,0.0005,0.0004,0.0019,-0.0001,-0.0002,-0.0005,-0.0001,-0.0004,-0.0002,-0.0002,0.0001,-0.0006,0,0.0099,0.0192,0.114,-0.0247,-0.0694,-0.2926,-0.1127,19.0071,3.4894,705,379,326,4.4223
8133.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.68,0.0219,0.0219,0.0219,0.0219,0.0337,0.0337,0.0337,0.0337,0.0337,0.0003,-0.0005,0.0033,0.0003,-0.0004,0.0033,0.0003,-0.0004,0.0033,0.0003,-0.0004,0.0033,0.0018,-0.0011,0.0059,-0.0077,0.0296,-0.0077,0.0296,-0.0077,0.0296,-0.0077,0.0296,33.3333,3.3333,12,7,5,2.6627
7872.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.6054,0,0.0146,0.1763,0.3819,0.0605,0,0.0035,0.0605,0.0605,0,0,0,0.0001,-0.0006,0.0013,0.0002,0.0003,0.0011,0.0001,0.0006,0,0.0007,0.0012,0.0001,0,0,-0.0368,0.0514,0.046,0.1303,0.3968,-0.0149,6.4145,3.1217,608,358,250,15.7091
6387.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.5632,0.0474,0.0474,0.0474,0.0474,0.0169,0.0169,0.0169,0.0169,0.0169,0.0008,-0.0012,0.0061,0.0006,-0.001,0.0061,0.0006,-0.001,0.0061,0.0006,-0.001,0.0061,0.0036,-0.0022,0.0168,-0.0196,0.067,-0.0196,0.067,-0.0196,0.067,-0.0196,0.067,15.3846,3.2308,13,9,4,9.2928
8230.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.5006,0,0.0755,-0.0252,0.4417,0.08,0,0.0015,0.006,0.08,0,0,0,0.0003,-0.0006,0.0019,0,-0.0005,0.0004,0.0001,0.0001,0.0009,0.0012,0.0004,0.0023,0,0,-0.0277,0.1032,-0.0758,0.0506,0.0797,0.362,13.1653,4.3754,357,201,156,6.9825
7822.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.4774,0.0696,0.0696,0.0696,0.0696,0.0088,0.0088,0.0088,0.0088,0.0088,0.0011,0.0008,0.0039,0.001,0.0007,0.0039,0.001,0.0007,0.0039,0.001,0.0007,0.0039,0.0063,0.0016,0.0146,0.0114,0.0582,0.0114,0.0582,0.0114,0.0582,0.0114,0.0582,27.2727,4.1818,11,7,4,5.324
7321.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.47,0.0167,0.0167,0.0167,0.0167,0.0408,0.0408,0.0408,0.0408,0.0408,0.0003,0.001,0.0005,0.0002,0.0008,0.0004,0.0002,0.0008,0.0004,0.0002,0.0008,0.0004,0.0013,0.0018,0.0008,0.011,0.0057,0.011,0.0057,0.011,0.0057,0.011,0.0057,30.7692,2.9231,13,6,7,2.6267
1949.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.46,0.015,0.015,0.015,0.015,0.0063,0.0063,0.0063,0.0063,0.0063,0.0002,0.0019,-0.0004,0.0002,0.0019,-0.0003,0.0002,0.0019,-0.0003,0.0002,0.0019,-0.0003,0.0022,0.0056,-0.0004,0.0167,-0.0017,0.0167,-0.0017,0.0167,-0.0017,0.0167,-0.0017,28.5714,2.8571,7,3,4,6.15
9628.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.4226,0,0,0.109,0.1471,0.0348,0,0,0.0173,0.0173,0,0,0,0,0,0,0.0001,0.0009,-0.0003,0,0.0003,-0.0001,0.0001,0.0002,0.0001,0,0,0,0,0.1541,-0.0451,0.1985,-0.0514,1.5625,3.3139,704,365,339,72.83
9726.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.4165,0.0966,0.0966,0.0966,0.0966,0.0369,0.0369,0.0369,0.0369,0.0369,0.0015,0.005,0.0032,0.0013,0.0046,0.0029,0.0013,0.0046,0.0029,0.0013,0.0046,0.0029,0.0069,0.0093,0.0045,0.0649,0.0317,0.0649,0.0317,0.0649,0.0317,0.0649,0.0317,28.5714,2.4286,14,7,7,3.2829
3878.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.41,0.1747,0.1747,0.1747,0.1747,0,0,0,0,0,0.0028,0.0103,0,0.0023,0.0097,0,0.0023,0.0097,0,0.0023,0.0097,0,0.0159,0.0291,0,0.1747,0,0.1747,0,0.1747,0,0.1747,0,9.0909,3.3636,11,6,5,Inf
3546.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,1.4,0.0841,0.0841,0.0841,0.0841,0.003,0.003,0.003,0.003,0.003,0.0013,-0.0013,0.0078,0.0012,-0.0011,0.0072,0.0012,-0.0011,0.0072,0.0012,-0.0011,0.0072,0.0084,-0.0033,0.0202,-0.0167,0.1008,-0.0167,0.1008,-0.0167,0.1008,-0.0167,0.1008,50,3.7,10,5,5,4.5
