symbol,strategy_name,strategy_option,end_date,"全期間騰落率_複利","利益率3か月","利益率1年","利益率3年","利益率15年","最大ドローダウン","最大ドローダウン3か月","最大ドローダウン1年","最大ドローダウン3年","最大ドローダウン15年","期待利益率3か月","期待利益率3か月long","期待利益率3か月short","期待利益率1年","期待利益率1年long","期待利益率1年short","期待利益率3年","期待利益率3年long","期待利益率3年short","期待利益率15年","期待利益率15年long","期待利益率15年short","全期間期待利益率","全期間期待利益率long","全期間期待利益率short","利益率3か月long","利益率3か月short","利益率1年long","利益率1年short","利益率3年long","利益率3年short","利益率15年long","利益率15年short","勝率","平均取引期間","取引数","取引数long","取引数short","ペイオフレシオ"
9956.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,152.634,0.1195,0.0068,-0.0062,1.2096,0.6035,0.0282,0.3423,0.3423,0.6035,0.0019,0.0047,0.0033,0,0.0009,-0.0008,0,0.0002,-0.0003,0.0003,0.0008,0.0009,0.0032,0.004,0.0022,0.0702,0.0493,0.0508,-0.044,0.0308,-0.037,0.6184,0.5912,38.6895,3.4914,641,333,308,1.7261
9936.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,151.9636,0.1101,0.0803,0.0573,1.3689,0.2327,0.0162,0.2019,0.2327,0.2327,0.0017,0.0042,0.0036,0.0003,0.0006,0.0009,0.0001,0.0007,-0.0006,0.0004,0.0012,0.0005,0.0029,0.0036,0.002,0.0664,0.0437,0.035,0.0453,0.1308,-0.0735,0.9935,0.3754,30.5233,4.0073,688,376,312,3.0384
2301.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,151.8403,-0.044,-0.2345,-0.4624,3.0869,0.1948,0.0376,0.1242,0.1679,0.1948,-0.0007,-0.0015,-0.0011,-0.001,-0.0036,-0.002,-0.0006,-0.002,-0.0016,0.0009,0.0031,0.0016,0.0054,0.0072,0.0037,-0.0323,-0.0117,-0.1572,-0.0773,-0.2734,-0.189,2.0133,1.0736,29.9475,3.2102,571,279,292,3.3084
4975.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,151.3232,0.0107,0.3121,0.8298,1.5242,0.6496,0.043,0.1382,0.3108,0.6496,0.0002,-0.0004,0.0019,0.0013,-0.0001,0.0053,0.0011,0.0035,0.0018,0.0005,0.0022,0,0.0029,0.0061,-0.0001,-0.0066,0.0173,-0.004,0.3161,0.5635,0.2663,1.5567,-0.0325,35.9768,3.8008,517,256,261,2.2865
9722.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,151.2479,0.0833,0.1487,0.6678,1.6179,0.7035,0.0021,0.0169,0.0705,0.7035,0.0013,0.0048,0.0022,0.0006,0.0024,0.0013,0.0009,0.0022,0.0023,0.0004,0.0014,0.0007,0.0021,0.0027,0.0015,0.0433,0.04,0.0724,0.0763,0.2821,0.3857,1.047,0.5709,21.5426,3.3351,752,377,375,4.255
8107.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,151.0729,-0.2694,-1.1065,-1.648,-2.8435,0.5623,0.0234,0.1038,0.3068,0.4563,-0.0043,-0.0199,-0.03,-0.0045,-0.027,-0.0297,-0.0022,-0.0238,-0.0173,-0.0008,-0.0091,-0.0067,-0.0047,-0.0061,-0.0034,-0.1794,-0.09,-0.8094,-0.2971,-1.0254,-0.6226,-1.5885,-1.255,16.6667,1.582,378,179,199,5.5804
3004.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,150.9335,0,0.0252,0.1751,1.5971,0.5384,0,0.0006,0.0652,0.5384,0,0,0,0.0001,-0.0001,0.0006,0.0002,0.0008,0.0004,0.0004,0.0022,0,0.0026,0.0055,-0.0001,0,0,-0.0024,0.0276,0.1177,0.0574,1.5962,0.0009,10.8579,3.3231,746,361,385,10.1856
2752.T,Bollingerband/DailyTrail,SMA7SD1.3,2019-09-20,150.7164,0.071,0.2267,0.473,2.5353,0.2052,0.0154,0.0154,0.0154,0.2052,0.0011,-0.002,0.0044,0.001,0.0005,0.0046,0.0006,0.0013,0.0023,0.0007,0.0016,0.0025,0.0078,0.0091,0.006,-0.0263,0.0973,0.0321,0.1946,0.2639,0.2091,1.3937,1.1416,32.0879,4.4132,455,257,198,4.8261
9031.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,149.8772,0.1073,-0.0192,0.1935,0.4299,0.6992,0.0083,0.2062,0.2062,0.6992,0.0017,0.0051,0.0022,-0.0001,-0.0014,0.0012,0.0003,0.0006,0.0007,0.0001,0.0004,0.0002,0.0003,0.0003,0.0003,0.0874,0.0199,-0.067,0.0478,0.1008,0.0927,0.3223,0.1076,32.7354,3.722,669,359,310,2.4894
3284.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,149.6754,-0.0601,-0.1893,0.3615,0.2491,0.393,0.0325,0.1727,0.2078,0.393,-0.001,-0.0024,-0.0029,-0.0008,-0.0003,-0.0041,0.0005,0.0034,-0.0018,0.0002,0.0014,-0.0008,0.0009,0.0039,-0.0017,-0.0367,-0.0234,-0.0167,-0.1726,0.6082,-0.2467,0.4951,-0.246,31.1594,3.4058,276,128,148,2.7175
